Magnetic field(G),Hall coefficient(2 mA),Hall coefficient(4 mA),Hall coefficient(6 mA)
100,0.00000225,0.000002125,0.000002
200,0.000002375,0.00000225,0.000002291666667
300,0.000002333333333,0.00000225,0.000002277777778
400,0.0000023125,0.00000228125,0.000002333333333
500,0.00000225,0.000002225,0.000002216666667
600,0.000002291666667,0.000002229166667,0.000002277777778
700,0.000002214285714,0.000002214285714,0.000002261904762
800,0.00000221875,0.00000221875,0.000002229166667
900,0.000002194444444,0.000002208333333,0.000002222222222
1000,0.00000215,0.0000021375,0.000002183333333
1100,0.000002159090909,0.000002170454545,0.000002181818182
1200,0.000002145833333,0.000002145833333,0.000002159722222
1300,0.000002134615385,0.000002144230769,0.000002153846154
1400,0.000002142857143,0.000002169642857,0.000002166666667
1500,0.000002133333333,0.00000215,0.000002155555556
1600,0.000002125,0.0000021484375,0.000002151041667
1700,0.000002088235294,0.000002102941176,0.00000212745098
1800,0.000002083333333,0.000002097222222,0.000002111111111
1900,0.000002065789474,0.000002078947368,0.000002078947368
2000,0.0000020625,0.00000208125,0.000002083333333
2100,0.000002071428571,0.000002089285714,0.000002083333333
2200,0.000002056818182,0.000002090909091,0.000002090909091
2300,0.000002032608696,0.000002054347826,0.000002050724638
2400,0.000002010416667,0.00000203125,0.00000203125
2500,0.000002,0.000002015,0.00000202
2600,0.000001990384615,0.000002009615385,0.000002012820513
2700,0.000001990740741,0.000002013888889,0.000002018518519
2800,0.000001982142857,0.000002,0.00000199702381
2900,0.000001974137931,0.000001987068966,0.000001994252874
3000,0.000001958333333,0.000001979166667,0.000001977777778
3100,0.000001943548387,0.000001955645161,0.000001956989247
3200,0.000001921875,0.00000194140625,0.000001947916667
3300,0.000001924242424,0.000001935606061,0.000001941919192
3400,0.000001897058824,0.000001919117647,0.000001921568627
3500,0.000001892857143,0.000001910714286,0.000001911904762
3600,0.000001888888889,0.000001902777778,0.000001912037037
3700,0.000001871621622,0.000001885135135,0.000001891891892
3800,0.000001861842105,0.000001878289474,0.000001881578947
3900,0.000001846153846,0.000001868589744,0.000001871794872
4000,0.0000018375,0.000001853125,0.000001860416667
4100,0.000001823170732,0.000001838414634,0.000001847560976
4200,0.00000181547619,0.000001836309524,0.000001843253968
4300,0.000001796511628,0.000001813953488,0.000001829457364
4400,0.000001784090909,0.000001806818182,0.000001820075758
4500,0.000001777777778,0.0000018,0.000001812962963
4600,0.000001766304348,0.000001793478261,0.000001800724638
4700,0.000001760638298,0.000001781914894,0.000001792553191
4800,0.00000175,0.000001768229167,0.00000178125
